trade_date,open,high,low,close,amt_change,pct_change
1981-08-12,1.1338,1.1399,1.129,1.1338,,
1981-08-13,1.139,1.1399,1.139,1.139,0.0052,0.46
1981-08-14,1.139,1.1399,1.137,1.139,0,0
1981-08-17,1.1379,1.1399,1.137,1.1379,-0.0011,-0.1
1981-08-18,1.141,1.1419,1.1399,1.141,0.0031,0.27
1981-08-19,1.147,1.15,1.143,1.147,0.006,0.53
1981-08-20,1.148,1.15,1.145,1.148,0.001,0.09
1981-08-21,1.15,1.15,1.149,1.15,0.002,0.17
1981-08-24,1.151,1.152,1.15,1.151,0.001,0.09
1981-08-25,1.15,1.15,1.15,1.15,-0.001,-0.09
1981-08-26,1.148,1.15,1.1459,1.148,-0.002,-0.17
1981-08-27,1.148,1.15,1.147,1.148,0,0
1981-08-28,1.148,1.15,1.147,1.148,0,0
1981-08-31,1.149,1.15,1.149,1.149,0.001,0.09
1981-09-01,1.149,1.15,1.148,1.149,0,0
1981-09-02,1.148,1.15,1.1459,1.148,-0.001,-0.09
1981-09-03,1.15,1.15,1.149,1.15,0.002,0.17
1981-09-04,1.15,1.15,1.15,1.15,0,0
1981-09-07,1.15,1.15,1.15,1.15,0,0
1981-09-08,1.1399,1.1399,1.1399,1.1399,-0.0101,-0.88
1981-09-09,1.1419,1.1439,1.1399,1.1419,0.002,0.18
1981-09-10,1.141,1.1419,1.1399,1.141,-0.0009,-0.08
1981-09-11,1.141,1.143,1.1399,1.141,0,0
1981-09-14,1.1459,1.15,1.143,1.1459,0.0049,0.43
1981-09-15,1.148,1.15,1.147,1.148,0.0021,0.18
1981-09-16,1.157,1.16,1.154,1.157,0.009,0.78
1981-09-17,1.158,1.16,1.156,1.158,0.001,0.09
1981-09-18,1.157,1.16,1.154,1.157,-0.001,-0.09
1981-09-21,1.157,1.16,1.153,1.157,0,0
1981-09-22,1.159,1.16,1.158,1.159,0.002,0.17
1981-09-23,1.154,1.159,1.15,1.154,-0.005,-0.43
1981-09-24,1.151,1.151,1.15,1.151,-0.003,-0.26
1981-09-25,1.148,1.15,1.147,1.148,-0.003,-0.26
1981-09-28,1.143,1.147,1.1399,1.143,-0.005,-0.44
1981-09-29,1.141,1.1419,1.1399,1.141,-0.002,-0.17
1981-09-30,1.1419,1.145,1.1399,1.1419,0.0009,0.08
1981-10-01,1.141,1.1419,1.1399,1.141,-0.0009,-0.08
1981-10-02,1.141,1.143,1.1399,1.141,0,0
1981-10-05,1.148,1.15,1.1459,1.148,0.007,0.61
1981-10-06,1.149,1.15,1.148,1.149,0.001,0.09
1981-10-07,1.151,1.153,1.15,1.151,0.002,0.17
1981-10-08,1.152,1.153,1.15,1.152,0.001,0.09
1981-10-09,1.157,1.16,1.155,1.157,0.005,0.43
1981-10-12,1.156,1.156,1.156,1.156,-0.001,-0.09
1981-10-13,1.153,1.155,1.15,1.153,-0.003,-0.26
1981-10-14,1.151,1.151,1.15,1.151,-0.002,-0.17
1981-10-15,1.15,1.15,1.15,1.15,-0.001,-0.09
1981-10-16,1.1419,1.145,1.1399,1.1419,-0.0081,-0.7
1981-10-19,1.1419,1.1439,1.1399,1.1419,0,0
1981-10-20,1.141,1.1419,1.1399,1.141,-0.0009,-0.08
1981-10-21,1.1399,1.1399,1.1399,1.1399,-0.0011,-0.1
1981-10-22,1.1379,1.1399,1.1359,1.1379,-0.002,-0.18
1981-10-23,1.1379,1.1399,1.137,1.1379,0,0
1981-10-26,1.1338,1.139,1.1298,1.1338,-0.0041,-0.36
1981-10-27,1.131,1.133,1.1298,1.131,-0.0028,-0.25
1981-10-28,1.1318,1.133,1.1298,1.1318,0.0008,0.07
1981-10-29,1.137,1.1399,1.1338,1.137,0.0052,0.46
1981-10-30,1.1379,1.1399,1.137,1.1379,0.0009,0.08
1981-11-02,1.139,1.1399,1.1379,1.139,0.0011,0.1
1981-11-03,1.143,1.143,1.143,1.143,0.004,0.35
1981-11-04,1.141,1.1419,1.1399,1.141,-0.002,-0.17
1981-11-05,1.141,1.1419,1.1399,1.141,0,0
1981-11-06,1.141,1.143,1.1399,1.141,0,0
1981-11-09,1.141,1.1419,1.1399,1.141,0,0
1981-11-10,1.1419,1.1439,1.1399,1.1419,0.0009,0.08
1981-11-11,1.141,1.141,1.141,1.141,-0.0009,-0.08
1981-11-12,1.141,1.141,1.1399,1.141,0,0
1981-11-13,1.1419,1.1439,1.1399,1.1419,0.0009,0.08
1981-11-16,1.1419,1.1439,1.1399,1.1419,0,0
1981-11-17,1.1419,1.143,1.1399,1.1419,0,0
1981-11-18,1.147,1.15,1.1439,1.147,0.0051,0.45
1981-11-19,1.148,1.15,1.1459,1.148,0.001,0.09
1981-11-20,1.148,1.15,1.1459,1.148,0,0
1981-11-23,1.148,1.15,1.147,1.148,0,0
1981-11-24,1.148,1.15,1.147,1.148,0,0
1981-11-25,1.149,1.15,1.148,1.149,0.001,0.09
1981-11-26,1.15,1.15,1.15,1.15,0.001,0.09
1981-11-27,1.15,1.15,1.15,1.15,0,0
1981-11-30,1.151,1.152,1.15,1.151,0.001,0.09
1981-12-01,1.151,1.153,1.15,1.151,0,0
1981-12-02,1.149,1.15,1.149,1.149,-0.002,-0.17
1981-12-03,1.143,1.147,1.1399,1.143,-0.006,-0.52
1981-12-04,1.1419,1.1439,1.1399,1.1419,-0.0011,-0.1
1981-12-07,1.143,1.145,1.1399,1.143,0.0011,0.1
1981-12-08,1.1419,1.143,1.1399,1.1419,-0.0011,-0.1
1981-12-09,1.1399,1.1399,1.1399,1.1399,-0.002,-0.18
1981-12-10,1.1338,1.1379,1.1298,1.1338,-0.0061,-0.54
1981-12-11,1.133,1.1359,1.1298,1.133,-0.0008,-0.07
1981-12-14,1.131,1.1318,1.1298,1.131,-0.002,-0.18
1981-12-15,1.1298,1.131,1.1298,1.1298,-0.0012,-0.11
1981-12-16,1.1318,1.133,1.1298,1.1318,0.002,0.18
1981-12-17,1.131,1.1318,1.1298,1.131,-0.0008,-0.07
1981-12-18,1.1298,1.1298,1.1298,1.1298,-0.0012,-0.11
1981-12-21,1.129,1.1298,1.1278,1.129,-0.0008,-0.07
1981-12-22,1.129,1.1298,1.1278,1.129,0,0
1981-12-23,1.1298,1.1298,1.129,1.1298,0.0008,0.07
1981-12-24,1.129,1.1298,1.1278,1.129,-0.0008,-0.07
1981-12-28,1.12,1.12,1.12,1.12,-0.009,-0.8
1981-12-29,1.1278,1.1298,1.125,1.1278,0.0078,0.7
1981-12-30,1.1278,1.1298,1.127,1.1278,0,0
1981-12-31,1.129,1.1298,1.1278,1.129,0.0012,0.11
1982-01-01,1.1278,1.1278,1.1278,1.1278,-0.0012,-0.11
1982-01-04,1.1298,1.1298,1.1298,1.1298,0.002,0.18
1982-01-05,1.129,1.1298,1.129,1.129,-0.0008,-0.07
1982-01-06,1.129,1.1298,1.1278,1.129,0,0
1982-01-07,1.124,1.1278,1.12,1.124,-0.005,-0.44
1982-01-08,1.122,1.124,1.12,1.122,-0.002,-0.18
1982-01-11,1.122,1.124,1.12,1.122,0,0
1982-01-12,1.12,1.12,1.12,1.12,-0.002,-0.18
1982-01-13,1.12,1.12,1.119,1.12,0,0
1982-01-14,1.112,1.115,1.11,1.112,-0.008,-0.71
1982-01-15,1.112,1.114,1.11,1.112,0,0
1982-01-18,1.112,1.115,1.11,1.112,0,0
1982-01-19,1.112,1.115,1.11,1.112,0,0
1982-01-20,1.112,1.113,1.11,1.112,0,0
1982-01-21,1.111,1.113,1.11,1.111,-0.001,-0.09
1982-01-22,1.111,1.112,1.11,1.111,0,0
1982-01-25,1.104,1.108,1.1,1.104,-0.007,-0.63
1982-01-26,1.107,1.11,1.105,1.107,0.003,0.27
1982-01-27,1.103,1.105,1.1,1.103,-0.004,-0.36
1982-01-28,1.101,1.103,1.1,1.101,-0.002,-0.18
1982-01-29,1.095,1.1,1.09,1.095,-0.006,-0.54
1982-02-01,1.095,1.1,1.091,1.095,0,0
1982-02-02,1.093,1.096,1.09,1.093,-0.002,-0.18
1982-02-03,1.092,1.093,1.09,1.092,-0.001,-0.09
1982-02-04,1.091,1.093,1.09,1.091,-0.001,-0.09
1982-02-05,1.092,1.093,1.09,1.092,0.001,0.09
1982-02-08,1.091,1.092,1.09,1.091,-0.001,-0.09
1982-02-09,1.09,1.09,1.09,1.09,-0.001,-0.09
1982-02-10,1.089,1.09,1.087,1.089,-0.001,-0.09
1982-02-11,1.089,1.09,1.087,1.089,0,0
