trade_date,open,high,low,close,amt_change,pct_change
1994-12-01,1.5669,1.5721,1.564,1.5659,,
1994-12-02,1.5656,1.5685,1.557,1.5605,-0.0054,-0.34
1994-12-05,1.559,1.5615,1.5555,1.5563,-0.0042,-0.27
1994-12-06,1.5572,1.5659,1.5563,1.5619,0.0056,0.36
1994-12-07,1.5585,1.569,1.557,1.5653,0.0034,0.22
1994-12-08,1.567,1.5685,1.5605,1.5628,-0.0025,-0.16
1994-12-09,1.5622,1.5644,1.5563,1.5609,-0.0019,-0.12
1994-12-12,1.559,1.5663,1.557,1.5641,0.0032,0.21
1994-12-13,1.5644,1.565,1.5585,1.5592,-0.0049,-0.31
1994-12-14,1.5587,1.5631,1.5575,1.562,0.0028,0.18
1994-12-15,1.5622,1.5633,1.5579,1.5625,0.0005,0.03
1994-12-16,1.5618,1.5644,1.5605,1.5609,-0.0016,-0.1
1994-12-19,1.5599,1.5621,1.5571,1.5599,-0.001,-0.06
1994-12-20,1.5599,1.5615,1.5506,1.5599,0,0
1994-12-21,1.559,1.5606,1.5414,1.5414,-0.0185,-1.19
1994-12-22,1.5406,1.5506,1.5388,1.5464,0.005,0.32
1994-12-23,1.5455,1.5494,1.5428,1.5449,-0.0015,-0.1
1994-12-27,1.5399,1.546,1.5394,1.5449,0,0
1994-12-28,1.5451,1.5759,1.542,1.5693,0.0244,1.58
1994-12-29,1.567,1.5702,1.5506,1.5595,-0.0098,-0.62
1994-12-30,1.5585,1.5693,1.5579,1.5663,0.0068,0.44
1995-01-03,1.5602,1.5659,1.5585,1.5625,-0.0038,-0.24
1995-01-04,1.5628,1.5644,1.5575,1.5599,-0.0026,-0.17
1995-01-05,1.5599,1.565,1.5585,1.5628,0.0029,0.19
1995-01-06,1.5628,1.5659,1.5484,1.5499,-0.0129,-0.83
1995-01-09,1.552,1.565,1.5499,1.5628,0.0129,0.83
1995-01-10,1.5621,1.5644,1.5549,1.5609,-0.0019,-0.12
1995-01-11,1.5613,1.5633,1.5556,1.5593,-0.0016,-0.1
1995-01-12,1.5593,1.5753,1.5579,1.5728,0.0135,0.87
1995-01-13,1.572,1.5753,1.565,1.5673,-0.0055,-0.35
1995-01-16,1.5684,1.5709,1.5671,1.5678,0.0005,0.03
1995-01-17,1.567,1.5693,1.5616,1.5659,-0.0019,-0.12
1995-01-19,1.57,1.59,1.5677,1.5853,0.0194,1.24
1995-01-20,1.5865,1.592,1.5829,1.5894,0.0041,0.26
1995-01-23,1.5844,1.5966,1.5843,1.5935,0.0041,0.26
1995-01-24,1.5938,1.6015,1.593,1.5966,0.0031,0.19
1995-01-25,1.5985,1.6019,1.5888,1.5907,-0.0059,-0.37
1995-01-26,1.5922,1.5938,1.5873,1.5907,0,0
1995-01-30,1.5887,1.5976,1.5859,1.5944,0.0037,0.23
1995-01-31,1.5947,1.597,1.5773,1.5794,-0.015,-0.94
1995-02-01,1.5794,1.5839,1.577,1.5822,0.0028,0.18
1995-02-02,1.5829,1.5839,1.577,1.5822,0,0
1995-02-03,1.5829,1.5829,1.5599,1.5625,-0.0197,-1.25
1995-02-06,1.5605,1.5631,1.5547,1.5593,-0.0032,-0.2
1995-02-07,1.5609,1.5615,1.5544,1.5559,-0.0034,-0.22
1995-02-08,1.557,1.56,1.5494,1.5523,-0.0036,-0.23
1995-02-09,1.5541,1.5605,1.552,1.557,0.0047,0.3
1995-02-10,1.557,1.5653,1.5527,1.5609,0.0039,0.25
1995-02-13,1.5626,1.5653,1.5613,1.5626,0.0017,0.11
1995-02-14,1.5616,1.5644,1.5516,1.562,-0.0006,-0.04
1995-02-15,1.5618,1.5651,1.557,1.5605,-0.0015,-0.1
1995-02-16,1.5615,1.5805,1.559,1.5778,0.0173,1.11
1995-02-17,1.5785,1.5885,1.5744,1.5794,0.0016,0.1
