trade_date,open,high,low,close,amt_change,pct_change
2005-11-09,8.087,8.087,8.087,8.087,,
2005-11-10,8.086,8.087,8.085,8.085,-0.002,-0.02
2005-11-11,8.086,8.086,8.085,8.085,0,0
2005-11-14,8.085,8.086,8.08,8.08,-0.005,-0.06
2005-11-15,8.083,8.085,8.082,8.082,0.002,0.02
2005-11-16,8.085,8.085,8.08,8.08,-0.002,-0.02
2005-11-17,8.084,8.085,8.082,8.085,0.005,0.06
2005-11-18,8.085,8.086,8.083,8.083,-0.002,-0.02
2005-11-21,8.083,8.083,8.083,8.083,0,0
2005-11-22,8.084,8.084,8.082,8.084,0.001,0.01
2005-11-23,8.084,8.084,8.079,8.079,-0.005,-0.06
2005-11-24,8.079,8.081,8.078,8.081,0.002,0.02
2005-11-25,8.081,8.081,8.079,8.08,-0.001,-0.01
2005-11-28,8.08,8.083,8.08,8.083,0.003,0.04
2005-11-29,8.083,8.083,8.077,8.078,-0.005,-0.06
2005-11-30,8.078,8.08,8.078,8.078,0,0
2005-12-01,8.079,8.08,8.079,8.079,0.001,0.01
2005-12-02,8.078,8.079,8.078,8.078,-0.001,-0.01
2005-12-06,8.081,8.081,8.078,8.078,0,0
2005-12-07,8.078,8.078,8.076,8.077,-0.001,-0.01
2005-12-08,8.077,8.078,8.076,8.078,0.001,0.01
2005-12-09,8.078,8.078,8.076,8.076,-0.002,-0.02
2005-12-12,8.076,8.076,8.075,8.075,-0.001,-0.01
2005-12-13,8.075,8.076,8.073,8.075,0,0
2005-12-14,8.075,8.075,8.074,8.075,0,0
2005-12-15,8.073,8.074,8.073,8.074,-0.001,-0.01
2005-12-16,8.072,8.074,8.072,8.074,0,0
2005-12-19,8.074,8.074,8.071,8.073,-0.001,-0.01
2005-12-20,8.073,8.073,8.073,8.073,0,0
2005-12-21,8.076,8.076,8.072,8.076,0.003,0.04
2005-12-22,8.076,8.077,8.076,8.076,0,0
2005-12-23,8.076,8.076,8.076,8.076,0,0
2005-12-26,8.076,8.076,8.07,8.074,-0.002,-0.02
2005-12-27,8.074,8.076,8.072,8.072,-0.002,-0.02
2005-12-28,8.072,8.074,8.07,8.072,0,0
2005-12-29,8.07,8.07,8.068,8.068,-0.004,-0.05
2005-12-30,8.069,8.07,8.067,8.068,0,0
2006-01-02,8.068,8.068,8.068,8.068,0,0
2006-01-03,8.068,8.068,8.068,8.068,0,0
2006-01-04,8.068,8.068,8.066,8.067,-0.001,-0.01
2006-01-05,8.067,8.067,8.063,8.064,-0.003,-0.04
2006-01-06,8.063,8.063,8.063,8.063,-0.001,-0.01
2006-01-10,8.062,8.062,8.062,8.062,-0.001,-0.01
2006-01-18,8.07,8.07,8.07,8.07,0.008,0.1
2006-01-23,8.063,8.064,8.063,8.063,-0.007,-0.09
2006-01-24,8.062,8.065,8.062,8.062,-0.001,-0.01
2006-01-25,8.063,8.063,8.063,8.063,0.001,0.01
2006-01-26,8.062,8.063,8.062,8.063,0,0
2006-01-27,8.061,8.062,8.061,8.062,-0.001,-0.01
2006-01-30,8.062,8.062,8.062,8.062,0,0
2006-01-31,8.062,8.062,8.062,8.062,0,0
2006-02-01,8.062,8.062,8.062,8.062,0,0
2006-02-02,8.062,8.062,8.062,8.062,0,0
2006-02-03,8.062,8.062,8.062,8.062,0,0
2006-02-07,8.057,8.058,8.055,8.058,-0.004,-0.05
2006-02-08,8.055,8.056,8.053,8.053,-0.005,-0.06
2006-02-09,8.056,8.056,8.054,8.056,0.003,0.04
2006-02-13,8.056,8.056,8.044,8.044,-0.012,-0.15
2006-02-14,8.046,8.048,8.045,8.045,0.001,0.01
2006-02-15,8.048,8.048,8.048,8.048,0.003,0.04
2006-02-17,8.048,8.049,8.046,8.047,-0.001,-0.01
2006-02-20,8.055,8.056,8.045,8.047,0,0
2006-02-21,8.047,8.05,8.047,8.05,0.003,0.04
2006-02-22,8.048,8.05,8.044,8.046,-0.004,-0.05
2006-02-23,8.047,8.05,8.046,8.046,0,0
2006-02-24,8.042,8.05,8.041,8.041,-0.005,-0.06
2006-02-27,8.042,8.05,8.038,8.039,-0.002,-0.02
2006-02-28,8.038,8.05,8.038,8.038,-0.001,-0.01
2006-03-01,8.037,8.039,8.035,8.035,-0.003,-0.04
2006-03-02,8.038,8.039,8.034,8.034,-0.001,-0.01
2006-03-03,8.037,8.039,8.035,8.035,0.001,0.01
2006-03-06,8.037,8.038,8.034,8.035,0,0
2006-03-07,8.041,8.042,8.037,8.04,0.005,0.06
2006-03-08,8.046,8.047,8.046,8.046,0.006,0.07
2006-03-09,8.046,8.049,8.038,8.049,0.003,0.04
2006-03-10,8.048,8.05,8.045,8.05,0.001,0.01
2006-03-13,8.045,8.05,8.045,8.049,-0.001,-0.01
2006-03-14,8.046,8.047,8.045,8.047,-0.002,-0.02
2006-03-15,8.037,8.048,8.036,8.036,-0.011,-0.14
2006-03-16,8.033,8.037,8.033,8.037,0.001,0.01
2006-03-17,8.029,8.032,8.029,8.029,-0.008,-0.1
2006-03-20,8.023,8.029,8.023,8.029,0,0
2006-03-21,8.026,8.029,8.025,8.026,-0.003,-0.04
2006-03-22,8.029,8.029,8.025,8.026,0,0
2006-03-23,8.028,8.029,8.026,8.027,0.001,0.01
2006-03-24,8.028,8.031,8.027,8.027,0,0
2006-03-27,8.025,8.025,8.019,8.019,-0.008,-0.1
2006-03-28,8.02,8.022,8.018,8.019,0,0
2006-03-29,8.026,8.027,8.023,8.023,0.004,0.05
2006-03-30,8.025,8.025,8.023,8.023,0,0
2006-03-31,8.017,8.017,8.015,8.016,-0.007,-0.09
2006-04-03,8.02,8.023,8.018,8.019,0.003,0.04
2006-04-04,8.017,8.019,8.015,8.015,-0.004,-0.05
2006-04-05,8.01,8.015,8.006,8.009,-0.006,-0.07
2006-04-06,8.008,8.009,8.006,8.006,-0.003,-0.04
2006-04-07,8.011,8.012,8.009,8.009,0.003,0.04
2006-04-10,8.002,8.01,8,8.004,-0.005,-0.06
2006-04-11,8.009,8.01,8.007,8.009,0.005,0.06
2006-04-12,8.01,8.011,8.006,8.009,0,0
2006-04-13,8.02,8.023,8.016,8.016,0.007,0.09
2006-04-14,8.015,8.017,8.011,8.014,-0.002,-0.02
2006-04-17,8.014,8.019,8.013,8.019,0.005,0.06
2006-04-18,8.012,8.022,8.011,8.022,0.003,0.04
2006-04-19,8.011,8.015,8.009,8.011,-0.011,-0.14
2006-04-20,8.01,8.013,8.01,8.011,0,0
2006-04-21,8.019,8.019,8.011,8.015,0.004,0.05
2006-04-24,8.017,8.017,8.013,8.016,0.001,0.01
2006-04-25,8.014,8.015,8.01,8.01,-0.006,-0.07
2006-04-26,8.02,8.02,8.012,8.016,0.006,0.07
2006-04-27,8.018,8.019,8.015,8.016,0,0
2006-04-28,8.015,8.015,8.012,8.013,-0.003,-0.04
2006-05-08,8.007,8.011,8.005,8.007,-0.006,-0.07
2006-05-09,8.005,8.011,8.002,8.003,-0.004,-0.05
2006-05-10,8.004,8.017,8.002,8.003,0,0
2006-05-11,8.004,8.005,8.003,8.004,0.001,0.01
2006-05-12,8.006,8.007,8.002,8.005,0.001,0.01
2006-05-15,7.996,8.006,7.996,8.006,0.001,0.01
2006-05-16,8.013,8.013,8.001,8.001,-0.005,-0.06
2006-05-17,8.004,8.004,7.999,7.999,-0.002,-0.02
2006-05-18,8.016,8.017,8.003,8.008,0.009,0.11
2006-05-19,8.013,8.018,8.008,8.018,0.01,0.12
2006-05-22,8.02,8.026,8.018,8.024,0.006,0.07
2006-05-23,8.015,8.021,8.015,8.018,-0.006,-0.07
2006-05-24,8.021,8.025,8.018,8.018,0,0
2006-05-25,8.024,8.025,8.022,8.023,0.005,0.06
2006-05-26,8.019,8.024,8.019,8.023,0,0
2006-05-29,8.026,8.027,8.02,8.02,-0.003,-0.04
2006-05-30,8.026,8.03,8.023,8.03,0.01,0.12
2006-05-31,8.016,8.025,8.016,8.022,-0.008,-0.1
2006-06-01,8.019,8.025,8.018,8.018,-0.004,-0.05
2006-06-02,8.019,8.023,8.019,8.021,0.003,0.04
2006-06-05,8.008,8.021,8.006,8.006,-0.015,-0.19
2006-06-06,8.011,8.021,8.009,8.012,0.006,0.07
2006-06-07,8.015,8.021,8.015,8.016,0.004,0.05
2006-06-08,8.016,8.021,8.015,8.016,0,0
2006-06-09,8.016,8.021,8.009,8.009,-0.007,-0.09
