trade_date,open,high,low,close,amt_change,pct_change
1986-01-02,199.55,199.55,198.69,199.15,,
1986-01-03,199.15,202.77,199,202.53,3.38,1.7
1986-01-06,202.53,202.68,201.6,201.9,-0.63,-0.31
1986-01-07,201.7,201.7,200.98,201.7,-0.2,-0.1
1986-01-08,201.7,202.1,201.2,202.1,0.4,0.2
1986-01-09,202.1,202.6399,201.56,202.1,0,0
1986-01-10,202.1,202.28,201.56,202.01,-0.09,-0.04
1986-01-13,202.37,203.27,202.37,202.7,0.69,0.34
1986-01-14,202.7,202.91,202.51,202.6,-0.1,-0.05
1986-01-15,202.6,202.73,202.15,202.5,-0.1,-0.05
1986-01-16,202.55,202.55,202.55,202.55,0.05,0.02
1986-01-17,202.55,202.73,201.88,202.52,-0.03,-0.01
1986-01-20,202.52,202.86,202.24,202.32,-0.2,-0.1
1986-01-21,202.32,202.6,201.9199,202.35,0.03,0.01
1986-01-22,202.35,202.41,201.07,201.7,-0.65,-0.32
1986-01-23,201.7,202.19,201.52,202.05,0.35,0.17
1986-01-24,199.59,199.59,195.68,196.05,-6,-2.97
1986-01-27,196.05,196.4,195.46,195.75,-0.3,-0.15
1986-01-28,195.75,196.18,194.97,195.65,-0.1,-0.05
1986-01-29,194.21,194.21,193,194.1,-1.55,-0.79
1986-01-30,194.1,194.21,192.73,193.05,-1.05,-0.54
1986-01-31,193.05,193.09,192.19,192.3,-0.75,-0.39
1986-02-03,191.61,191.61,190.1699,191.55,-0.75,-0.39
1986-02-04,191.55,192.41,191.07,192.05,0.5,0.26
1986-02-05,192.05,192.91,190.4,190.65,-1.4,-0.73
1986-02-06,190.65,191.16,189.72,190.48,-0.17,-0.09
1986-02-07,190.48,191.35,190.26,191.35,0.87,0.46
1986-02-10,189.81,189.81,187.7,188.15,-3.2,-1.67
1986-02-11,188.15,188.29,186.98,187.45,-0.7,-0.37
1986-02-12,186.76,186.76,185.46,186.72,-0.73,-0.39
1986-02-13,184.47,184.47,182.36,182.6399,-4.0801,-2.19
1986-02-14,182.6399,182.81,181.56,182,-0.6399,-0.35
1986-02-17,180.98,180.98,179.85,179.99,-2.01,-1.1
1986-02-18,180.93,182.54,180.93,181.05,1.06,0.59
1986-02-19,179.09,179.09,177.16,177.48,-3.57,-1.97
1986-02-20,178.46,181.4199,178.46,181.1,3.62,2.04
1986-02-21,182.1399,184.38,182.1399,182.98,1.88,1.04
1986-02-24,182.98,183.08,181.47,182.15,-0.83,-0.45
1986-02-25,181.96,181.96,180.35,180.95,-1.2,-0.66
1986-02-26,180.98,182.01,180.98,181.15,0.2,0.11
1986-02-27,181.15,181.33,177.79,180.15,-1,-0.55
1986-02-28,180.15,180.57,179.36,180.55,0.4,0.22
1986-03-03,180.21,180.21,179.5,179.65,-0.9,-0.5
1986-03-04,179.4,179.4,178.46,179,-0.65,-0.36
1986-03-05,179,180.66,178.81,180.48,1.48,0.83
1986-03-06,180.48,181.29,179.3,179.3,-1.18,-0.65
1986-03-07,179.3,179.94,178.96,179.45,0.15,0.08
1986-03-10,179.45,180.8,179.22,180.7,1.25,0.7
1986-03-11,180.35,180.35,179.63,179.9,-0.8,-0.44
1986-03-12,179.9,180.44,179.36,180.3899,0.4899,0.27
1986-03-13,180.26,180.26,179.1399,179.5,-0.8899,-0.49
1986-03-14,177.61,177.61,175.82,176.6699,-2.8301,-1.58
1986-03-17,175.77,175.77,174.96,175.59,-1.0799,-0.61
1986-03-18,175.55,175.55,174.74,175.19,-0.4,-0.23
1986-03-19,176.09,177.3,176.09,177.07,1.88,1.07
1986-03-20,176.71,176.71,175.86,176.13,-0.94,-0.53
1986-03-21,176.13,176.44,175.68,175.86,-0.27,-0.15
1986-03-24,177.07,179.09,177.07,178.73,2.87,1.63
1986-03-25,179.32,180.35,179.32,180.03,1.3,0.73
1986-03-26,180.03,180.88,179.58,179.63,-0.4,-0.22
1986-03-27,179.63,179.94,179.18,179.54,-0.09,-0.05
1986-03-28,168.6399,168.6399,167.5,168.4,-11.14,-6.2
1986-03-31,168.94,170.52,168.94,170.52,2.12,1.26
1986-04-01,177.52,178.86,177.52,177.75,7.23,4.24
1986-04-02,178.28,179.58,178.28,179.22,1.47,0.83
1986-04-03,179.22,180.12,179.1399,179.4,0.18,0.1
1986-04-04,179.5,180.7,179.5,180.21,0.81,0.45
1986-04-07,180.62,183.1699,180.62,182.9,2.69,1.49
1986-04-08,181.51,181.51,179.36,179.99,-2.91,-1.59
1986-04-09,179.99,180.3899,179.5,179.9,-0.09,-0.05
1986-04-10,179.9,180.12,178.96,179.1399,-0.7601,-0.42
1986-04-11,178.51,178.51,177.52,178.1,-1.0399,-0.58
1986-04-14,178.1,179.72,178.06,179.09,0.99,0.56
1986-04-15,179.09,179.32,177.97,178.46,-0.63,-0.35
1986-04-16,177.9199,177.9199,176.18,176.58,-1.88,-1.05
1986-04-17,176.18,176.18,175.05,175.59,-0.99,-0.56
1986-04-18,175.59,176,173.93,174.16,-1.43,-0.81
1986-04-21,172.36,172.36,171.29,171.96,-2.2,-1.26
1986-04-22,170.3899,170.3899,169.09,169.72,-2.24,-1.3
1986-04-23,168.37,168.37,166.98,168.01,-1.71,-1.01
1986-04-24,168.01,169.04,167.7,168.6399,0.6299,0.37
1986-04-25,168.6399,170.3,168.06,168.51,-0.1299,-0.08
1986-04-28,167.88,167.88,166.53,167.03,-1.48,-0.88
1986-04-29,167.03,167.8899,166.98,167.54,0.51,0.31
1986-04-30,167.54,168.59,167.4199,167.54,0,0
1986-05-01,168.68,169.6699,168.68,169.44,1.9,1.13
1986-05-02,169.44,170.78,169.15,169.32,-0.12,-0.07
1986-05-05,167.74,167.74,164.88,165.23,-4.09,-2.42
1986-05-06,165.23,168.12,164.85,166.34,1.11,0.67
1986-05-07,166.34,166.4,164.99,165.29,-1.05,-0.63
1986-05-08,164.6399,164.6399,163.09,163.47,-1.82,-1.1
1986-05-09,163.18,163.18,161.63,162.19,-1.28,-0.78
1986-05-12,161.49,161.49,160,161.05,-1.14,-0.7
1986-05-13,161.05,163.59,160.73,163.27,2.22,1.38
1986-05-14,163.27,164.03,162.83,163.24,-0.03,-0.02
1986-05-15,163.24,163.59,162.48,163.47,0.23,0.14
1986-05-16,164.7,165.73,164.7,165.29,1.82,1.11
1986-05-19,167.54,168.68,167.54,167.83,2.54,1.54
1986-05-20,167.83,168.47,166.4,168.3899,0.5599,0.33
1986-05-21,168.3899,169.44,168.33,168.62,0.2301,0.14
1986-05-22,168.73,169.99,168.73,169.29,0.67,0.4
1986-05-23,169.29,170.69,168.88,169.49,0.2,0.12
1986-05-26,169.49,169.73,169.38,169.58,0.09,0.05
1986-05-27,169.58,170.02,169.03,169.1699,-0.4101,-0.24
1986-05-28,169.09,169.09,167.97,168.97,-0.1999,-0.12
