trade_date,open,high,low,close,amt_change,pct_change
1971/1/4,120.53,120.53,120.53,120.53,,
1971/1/5,120.52,120.52,120.52,120.52,-0.01,-0.01
1971/1/6,120.49,120.49,120.49,120.49,-0.03,-0.02
1971/1/7,120.55,120.55,120.55,120.55,0.06,0.05
1971/1/8,120.53,120.53,120.53,120.53,-0.02,-0.02
1971/1/11,120.53,120.53,120.53,120.53,0,0
1971/1/12,120.49,120.49,120.49,120.49,-0.04,-0.03
1971/1/13,120.47,120.47,120.47,120.47,-0.02,-0.02
1971/1/14,120.44,120.44,120.44,120.44,-0.03,-0.02
1971/1/15,120.44,120.44,120.44,120.44,0,0
1971/1/18,120.41,120.41,120.41,120.41,-0.03,-0.02
1971/1/19,120.37,120.37,120.37,120.37,-0.04,-0.03
1971/1/20,120.34,120.34,120.34,120.34,-0.03,-0.02
1971/1/21,120.33,120.33,120.33,120.33,-0.01,-0.01
1971/1/22,120.31,120.31,120.31,120.31,-0.02,-0.02
1971/1/25,120.27,120.27,120.27,120.27,-0.04,-0.03
1971/1/26,120.26,120.26,120.26,120.26,-0.01,-0.01
1971/1/27,120.25,120.25,120.25,120.25,-0.01,-0.01
1971/1/28,120.25,120.25,120.25,120.25,0,0
1971/1/29,120.24,120.24,120.24,120.24,-0.01,-0.01
1971/2/1,120.26,120.26,120.26,120.26,0.02,0.02
1971/2/2,120.28,120.28,120.28,120.28,0.02,0.02
1971/2/3,120.24,120.24,120.24,120.24,-0.04,-0.03
1971/2/4,120.24,120.24,120.24,120.24,0,0
1971/2/5,120.26,120.26,120.26,120.26,0.02,0.02
1971/2/8,120.26,120.26,120.26,120.26,0,0
1971/2/9,120.25,120.25,120.25,120.25,-0.01,-0.01
1971/2/10,120.28,120.28,120.28,120.28,0.03,0.02
1971/2/11,120.29,120.29,120.29,120.29,0.01,0.01
1971/2/16,120.22,120.22,120.22,120.22,-0.07,-0.06
1971/2/17,120.21,120.21,120.21,120.21,-0.01,-0.01
1971/2/18,120.21,120.21,120.21,120.21,0,0
1971/2/19,120.18,120.18,120.18,120.18,-0.03,-0.02
1971/2/22,120.14,120.14,120.14,120.14,-0.04,-0.03
1971/2/23,120.12,120.12,120.12,120.12,-0.02,-0.02
1971/2/24,120.18,120.18,120.18,120.18,0.06,0.05
1971/2/25,120.2,120.2,120.2,120.2,0.02,0.02
1971/2/26,120.26,120.26,120.26,120.26,0.06,0.05
1971/3/1,120.25,120.25,120.25,120.25,-0.01,-0.01
1971/3/2,120.21,120.21,120.21,120.21,-0.04,-0.03
1971/3/3,120.19,120.19,120.19,120.19,-0.02,-0.02
1971/3/4,120.2,120.2,120.2,120.2,0.01,0.01
1971/3/5,120.17,120.17,120.17,120.17,-0.03,-0.02
1971/3/8,120.13,120.13,120.13,120.13,-0.04,-0.03
1971/3/9,120.14,120.14,120.14,120.14,0.01,0.01
1971/3/10,120.14,120.14,120.14,120.14,0,0
1971/3/11,120.16,120.16,120.16,120.16,0.02,0.02
1971/3/12,120.18,120.18,120.18,120.18,0.02,0.02
1971/3/15,120.19,120.19,120.19,120.19,0.01,0.01
1971/3/16,120.19,120.19,120.19,120.19,0,0
1971/3/17,120.16,120.16,120.16,120.16,-0.03,-0.02
1971/3/18,120.18,120.18,120.18,120.18,0.02,0.02
1971/3/19,120.18,120.18,120.18,120.18,0,0
1971/3/22,120.18,120.18,120.18,120.18,0,0
1971/3/23,120.17,120.17,120.17,120.17,-0.01,-0.01
1971/3/24,120.16,120.16,120.16,120.16,-0.01,-0.01
1971/3/25,120.17,120.17,120.17,120.17,0.01,0.01
1971/3/26,120.17,120.17,120.17,120.17,0,0
1971/3/29,120.18,120.18,120.18,120.18,0.01,0.01
1971/3/30,120.18,120.18,120.18,120.18,0,0
1971/3/31,120.17,120.17,120.17,120.17,-0.01,-0.01
1971/4/1,120.18,120.18,120.18,120.18,0.01,0.01
1971/4/2,120.18,120.18,120.18,120.18,0,0
1971/4/5,120.19,120.19,120.19,120.19,0.01,0.01
