trade_date,open,high,low,close,vol,SMA_5,SMA_20,SMA_50,SMA_200,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 1992/05/18,4.08,4.12,4.07,4.09,0,           ,           ,           ,           ,0,           ,           ,0,0,0
 1992/05/19,4.08,4.13,4.06,4.08,0,           ,           ,           ,           ,0,           ,           ,0,0,0
 1992/05/20,4.08,4.09,4.06,4.08,0,           ,           ,           ,           ,0,           ,           ,0,0,0
 1992/05/21,4.08,4.08,4.05,4.07,0,           ,           ,           ,           ,0,           ,           ,0,0,0
 1992/05/22,4.07,4.11,4.06,4.08,0,4.08,           ,           ,           ,0,0,           ,0,0,0
 1992/05/25,4.08,4.09,4.07,4.08,0,4.08,           ,           ,           ,0,0,           ,0,0,0
 1992/05/26,4.09,4.11,4.08,4.09,0,4.08,           ,           ,           ,0,0,           ,0,0,0
 1992/05/27,4.09,4.12,4.07,4.08,0,4.08,           ,           ,           ,0,0,           ,0,0,0
 1992/05/28,4.08,4.09,4.04,4.05,0,4.08,           ,           ,           ,0,0,           ,0,0,0
 1992/05/29,4.06,4.07,4.01,4.02,0,4.06,           ,           ,           ,0,0,0,-0.01,0,-0.01
 1992/06/01,4.01,4.07,3.98,4.05,0,4.06,           ,           ,           ,0,0,0,-0.01,-0.01,-0.01
 1992/06/02,4.05,4.09,4.05,4.07,0,4.05,           ,           ,           ,0,0,0,-0.01,-0.01,-0.01
 1992/06/03,4.07,4.11,4.05,4.05,0,4.05,           ,           ,           ,0,0,0,-0.01,-0.01,-0.01
 1992/06/04,4.04,4.08,4.04,4.07,0,4.05,           ,           ,           ,0,0,0,-0.01,-0.01,0
 1992/06/05,4.07,4.09,4.04,4.05,0,4.06,           ,           ,           ,0,0,0,-0.01,-0.01,0
 1992/06/08,4.05,4.06,4.03,4.04,0,4.06,           ,           ,           ,0,0,0,-0.01,-0.01,0
 1992/06/09,4.04,4.06,4.03,4.04,0,4.05,           ,           ,           ,0,0,0,-0.01,-0.01,0
 1992/06/10,4.04,4.07,4.04,4.05,0,4.05,           ,           ,           ,0,0,0,-0.01,-0.01,0
 1992/06/11,4.05,4.11,4.04,4.09,0,4.05,           ,           ,           ,0,0,0,-0.01,-0.01,0
 1992/06/12,4.09,4.14,4.06,4.12,0,4.07,4.07,           ,           ,0,0,0,0,-0.01,0.01
 1992/06/15,4.12,4.14,4.08,4.12,0,4.08,4.07,           ,           ,0,0,0,0,-0.01,0.02
 1992/06/16,4.11,4.13,4.09,4.1,0,4.1,4.07,           ,           ,0,0,0,0,0,0.01
 1992/06/17,4.09,4.12,4.08,4.08,0,4.1,4.07,           ,           ,0,0,0,0,0,0.01
 1992/06/18,4.08,4.11,4.07,4.09,0,4.1,4.07,           ,           ,0,0,0,0,0,0.01
 1992/06/19,4.09,4.15,4.02,4.02,0,4.08,4.07,           ,           ,0,0,0,0,0,0
 1992/06/22,4.03,4.05,4.02,4.04,0,4.07,4.07,           ,           ,0,0,0,0,0,0
 1992/06/23,4.04,4.06,3.97,4.04,0,4.05,4.06,           ,           ,0,0,0,-0.01,0,-0.01
 1992/06/24,4.04,4.05,4,4.03,0,4.04,4.06,           ,           ,0,0,0,-0.01,0,-0.01
 1992/06/25,4.03,4.05,4,4.01,0,4.03,4.06,           ,           ,0,0,0,-0.01,-0.01,-0.01
 1992/06/26,4.02,4.02,3.97,3.98,0,4.02,4.06,           ,           ,0,0,0,-0.02,-0.01,-0.02
 1992/06/29,3.99,4.03,3.97,4.03,0,4.02,4.06,           ,           ,0,0,0,-0.02,-0.01,-0.01
 1992/06/30,4.03,4.04,4.02,4.04,0,4.02,4.05,           ,           ,0,0,0,-0.01,-0.01,-0.01
 1992/07/01,4.04,4.05,4.02,4.04,0,4.02,4.05,           ,           ,0,0,0,-0.01,-0.01,-0.01
 1992/07/02,4.04,4.09,4.03,4.04,0,4.03,4.05,           ,           ,0,0,0,-0.01,-0.01,0
 1992/07/03,4.04,4.05,4.04,4.05,0,4.04,4.05,           ,           ,0,0,0,-0.01,-0.01,0
