trade_date,open,high,low,close,vol,SMA_5,SMA_20,SMA_50,SMA_200,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 1992/05/18,338.3,339.6,336.5,338.4,0,           ,           ,           ,           ,0,           ,           ,0,0,0
 1992/05/19,338.45,340.9,337,337.55,0,           ,           ,           ,           ,0,           ,           ,-0.07,-0.01,-0.11
 1992/05/20,337.65,338.15,336,337.65,0,           ,           ,           ,           ,0,           ,           ,-0.11,-0.03,-0.16
 1992/05/21,337.65,337.85,336.3,336.9,0,           ,           ,           ,           ,0,           ,           ,-0.21,-0.07,-0.28
 1992/05/22,336.95,337.9,336.65,337.6,0,337.62,           ,           ,           ,0,0,           ,-0.22,-0.1,-0.24
 1992/05/25,337.7,338.9,337,338.1,0,337.56,           ,           ,           ,0,0,           ,-0.19,-0.12,-0.15
 1992/05/26,338.2,338.65,337,337.9,0,337.63,           ,           ,           ,0,0,           ,-0.18,-0.13,-0.1
 1992/05/27,337.95,339,337.3,337.55,0,337.61,           ,           ,           ,0,0,           ,-0.2,-0.14,-0.11
 1992/05/28,337.6,337.75,335.9,337.05,0,337.64,           ,           ,           ,0,0,           ,-0.25,-0.16,-0.17
 1992/05/29,336.95,338.1,336.05,336.3,0,337.38,           ,           ,           ,0,0,0,-0.35,-0.2,-0.29
 1992/06/01,336.5,337.7,335.9,337.6,0,337.28,           ,           ,           ,0,0,0,-0.31,-0.22,-0.18
 1992/06/02,337.5,339.5,336.7,338.7,0,337.44,           ,           ,           ,0,0,0,-0.2,-0.22,0.04
 1992/06/03,338.5,340.7,337.6,338.25,0,337.58,           ,           ,           ,0,0,0,-0.14,-0.2,0.12
 1992/06/04,338.3,339,337.65,338.5,0,337.87,           ,           ,           ,0,0,0,-0.08,-0.18,0.2
 1992/06/05,338.5,339.25,338.2,338.5,0,338.31,           ,           ,           ,0,0,0,-0.02,-0.15,0.25
 1992/06/08,338.55,339.25,337.8,337.9,0,338.37,           ,           ,           ,0,0,0,-0.03,-0.12,0.19
 1992/06/09,338.05,338.4,337.25,337.8,0,338.19,           ,           ,           ,0,0,0,-0.04,-0.11,0.13
 1992/06/10,337.8,338.7,337.3,337.65,0,338.07,           ,           ,           ,0,0,0,-0.06,-0.1,0.07
 1992/06/11,337.6,340.2,337.55,340,0,338.37,           ,           ,           ,0,0,0,0.11,-0.06,0.33
 1992/06/12,340,343.9,339.1,342.5,0,339.17,338.12,           ,           ,0,0,0,0.44,0.04,0.8
 1992/06/15,342.3,343.5,341.4,342.5,0,340.09,338.33,           ,           ,0,0,0,0.7,0.17,1.05
 1992/06/16,342.6,343.2,340.2,341.9,0,340.91,338.54,           ,           ,0,0,0,0.84,0.31,1.07
 1992/06/17,341.8,344.09,340.7,341.35,0,341.65,338.73,           ,           ,0,0,0,0.9,0.43,0.95
 1992/06/18,341.3,343.2,340.6,342.25,0,342.1,338.99,           ,           ,0,0,0,1.01,0.54,0.93
 1992/06/19,342.2,345,340,340.7,0,341.74,339.15,           ,           ,0,0,0,0.96,0.63,0.67
 1992/06/22,341.15,343.7,340.7,343.2,0,341.88,339.4,           ,           ,0,0,0,1.11,0.72,0.77
 1992/06/23,343.2,344.8,342.5,344.1,0,342.32,339.71,           ,           ,0,0,0,1.28,0.83,0.9
 1992/06/24,343.95,344.9,341.7,342.65,0,342.58,339.97,           ,           ,0,0,0,1.29,0.93,0.73
 1992/06/25,342.7,344,342,342.8,0,342.69,340.26,           ,           ,0,0,0,1.29,1,0.59
 1992/06/26,342.85,344,341.8,342.35,0,343.02,340.56,           ,           ,0,0,0,1.25,1.05,0.39
 1992/06/29,342.25,343.8,341.3,343.45,0,343.07,340.85,           ,           ,0,0,0,1.28,1.1,0.37
 1992/06/30,343.5,343.75,342,343,0,342.85,341.07,           ,           ,0,0,0,1.26,1.13,0.26
 1992/07/01,343.05,344.5,342.8,343.9,0,343.1,341.35,           ,           ,0,0,0,1.3,1.16,0.27
 1992/07/02,343.9,348.25,343.3,346,0,343.74,341.73,           ,           ,0,0,0,1.48,1.23,0.51
 1992/07/03,346,346.5,344.9,346,0,344.47,342.1,           ,           ,0,0,0,1.61,1.3,0.61
 1992/07/06,345.9,347,345,346.4,0,345.06,342.52,           ,           ,0,0,0,1.72,1.39,0.67
 1992/07/07,346.3,346.7,344.5,346.15,0,345.69,342.94,           ,           ,0,0,0,1.77,1.46,0.62
 1992/07/08,346.1,349.2,345.75,347.15,0,346.34,343.42,           ,           ,0,0,0,1.87,1.55,0.65
 1992/07/09,347.1,348.6,346.1,348.45,0,346.83,343.84,           ,           ,0,0,0,2.03,1.64,0.77
 1992/07/10,348.2,350.5,347.8,348,0,347.23,344.11,           ,           ,0,0,0,2.1,1.73,0.72
 1992/07/13,348.3,349.4,347,348.7,0,347.69,344.42,           ,           ,0,0,0,2.18,1.82,0.71
 1992/07/14,349,351.4,348.6,350.6,0,348.58,344.86,           ,           ,0,0,0,2.37,1.93,0.88
 1992/07/15,350.6,353.8,350.25,353.45,0,349.84,345.46,           ,           ,0,0,0,2.72,2.09,1.26
 1992/07/16,353.45,355.45,352.1,352.25,0,350.6,345.96,           ,           ,0,0,0,2.87,2.25,1.25
 1992/07/17,352.3,359.1,351.95,357,0,352.4,346.78,           ,           ,0,0,0,3.33,2.46,1.74
 1992/07/20,357.75,360.2,356,358.65,0,354.39,347.55,           ,           ,0,0,0,3.79,2.73,2.12
 1992/07/21,358.6,358.85,356.6,357.4,0,355.75,348.22,           ,           ,0,0,0,4,2.98,2.04
 1992/07/22,357.3,360.1,356.75,359,0,356.86,349.04,           ,           ,0,0,0,4.25,3.24,2.03
 1992/07/23,359.1,361.1,357.7,357.75,0,357.96,349.78,           ,           ,0,0,0,4.3,3.45,1.7
 1992/07/24,357.75,360,356.25,359.3,0,358.42,350.63,343.98,           ,0,0,0,4.41,3.64,1.54
 1992/07/27,358.5,358.8,357.1,357.8,0,358.25,351.35,344.36,           ,0,0,0,4.33,3.78,1.1
 1992/07/29,358.95,359.4,355.6,356.4,0,358.05,352.02,344.74,           ,0,0,0,4.1,3.84,0.52
 1992/07/30,356.6,357.7,355.45,356.5,0,357.55,352.65,345.12,           ,0,0,0,3.89,3.85,0.07
 1992/07/31,356.7,358.5,356.6,357.6,0,357.52,353.23,345.53,           ,0,0,0,3.76,3.84,-0.14
 1992/08/03,358,358,351.8,353,0,356.26,353.58,345.84,           ,0,0,0,3.26,3.72,-0.93
 1992/08/04,353.1,353.3,351.04,352.9,0,355.28,353.9,346.14,           ,0,0,0,2.81,3.54,-1.45
 1992/08/05,352.8,353.55,348.4,349.4,0,353.88,354.07,346.37,           ,0,0,0,2.15,3.26,-2.21
 1992/08/06,349.5,349.8,347,349.3,0,352.44,354.17,346.6,           ,0,0,0,1.61,2.93,-2.65
 1992/08/07,349.35,351.4,348.65,350.4,0,351,354.27,346.87,           ,0,0,0,1.25,2.59,-2.7
 1992/08/10,350.6,351.3,349.6,349.9,0,350.38,354.36,347.14,           ,0,0,0,0.91,2.26,-2.69
 1992/08/11,349.8,350.2,347,347.65,0,349.33,354.31,347.34,           ,0,0,0,0.46,1.9,-2.88
 1992/08/12,347.7,348.75,337.5,340,0,347.45,353.78,347.37,           ,0,0,0,-0.51,1.41,-3.86
 1992/08/13,340.3,340.65,332.4,334.8,0,344.55,352.85,347.3,           ,0,0,0,-1.68,0.79,-4.96
 1992/08/14,335,336.55,333,335.3,0,341.53,352,347.23,           ,0,0,0,-2.54,0.13,-5.34
 1992/08/17,335.85,338.13,335.3,337,0,338.95,351,347.2,           ,0,0,0,-3.05,-0.51,-5.08
 1992/08/18,337.1,337.2,333.5,335.95,0,336.61,349.87,347.17,           ,0,0,0,-3.49,-1.11,-4.78
 1992/08/19,336,338.7,335.75,337.6,0,336.13,348.88,347.16,           ,0,0,0,-3.67,-1.62,-4.11
 1992/08/20,337.5,338.7,335.5,337.5,0,336.67,347.8,347.16,           ,0,0,0,-3.78,-2.05,-3.46
 1992/08/21,337.5,338.1,335.8,337.4,0,337.09,346.79,347.11,           ,0,0,0,-3.83,-2.41,-2.84
 1992/08/24,338,342.8,337.8,341.55,0,338,345.9,347.09,           ,0,0,0,-3.49,-2.62,-1.73
 1992/08/25,341.3,341.8,339.9,340.25,0,338.86,345.02,347.04,           ,0,0,0,-3.29,-2.76,-1.07
 1992/08/26,340.1,341.8,337.9,338.15,0,338.97,344.11,346.97,           ,0,0,0,-3.26,-2.86,-0.81
 1992/08/27,338,339.7,337,338.9,0,339.25,343.23,346.92,           ,0,0,0,-3.14,-2.91,-0.46
 1992/08/28,338.9,341.9,338.5,339.55,0,339.68,342.32,346.86,           ,0,0,0,-2.96,-2.92,-0.08
 1992/08/31,339.85,344,339.65,342.2,0,339.81,341.79,346.89,           ,0,0,0,-2.58,-2.85,0.56
 1992/09/01,342.1,343.25,340.2,340.5,0,339.86,341.17,346.84,           ,0,0,0,-2.38,-2.76,0.76
 1992/09/02,340.55,341.25,337.8,338.7,0,339.97,340.63,346.73,           ,0,0,0,-2.34,-2.68,0.67
 1992/09/03,338.85,342.1,338.25,340.9,0,340.37,340.21,346.7,           ,0,0,0,-2.11,-2.56,0.9
 1992/09/04,341.15,342.6,340.6,341.25,0,340.71,339.75,346.67,           ,0,0,0,-1.88,-2.43,1.1
 1992/09/07,341.8,343.52,341,342.9,0,340.85,339.4,346.68,           ,0,0,0,-1.54,-2.25,1.41
 1992/09/10,341.8,342.85,341.02,341.9,0,341.13,339.11,346.65,           ,0,0,0,-1.34,-2.07,1.45
 1992/09/11,342,342.25,339.3,340.75,0,341.54,339.15,346.6,           ,0,0,0,-1.26,-1.91,1.29
 1992/09/14,339,348.7,339,346.45,0,342.65,339.73,346.65,           ,0,0,0,-0.73,-1.67,1.89
 1992/09/15,346.4,346.8,345.25,346,0,343.6,340.27,346.65,           ,0,0,0,-0.34,-1.4,2.13
 1992/09/16,346.15,349.85,345.25,348.9,0,344.8,340.86,346.71,           ,0,0,0,0.2,-1.08,2.57
 1992/09/17,349.1,353.3,346.5,347.75,0,345.97,341.45,346.74,           ,0,0,0,0.53,-0.76,2.58
 1992/09/18,347.9,352.3,346.8,351,0,348.02,342.13,346.83,           ,0,0,0,1.04,-0.4,2.88
 1992/09/21,350,350.25,346.3,347.45,0,348.22,342.62,346.84,           ,0,0,0,1.15,-0.09,2.48
 1992/09/22,347.45,350.8,345.6,349.25,0,348.87,343.21,346.86,           ,0,0,0,1.36,0.2,2.32
 1992/09/23,349.65,350.35,347.4,348.7,0,348.83,343.57,346.87,           ,0,0,0,1.47,0.45,2.03
 1992/09/24,348.65,349.3,347.25,349.1,0,349.1,344.02,346.88,           ,0,0,0,1.57,0.68,1.78
 1992/09/25,349,350.8,348.15,349.1,0,348.72,344.56,346.85,           ,0,0,0,1.63,0.87,1.52
 1992/09/28,349.4,349.7,347.4,347.85,0,348.8,345.01,346.74,           ,0,0,0,1.56,1.01,1.1
 1992/09/29,347.85,349.9,346.25,348.5,0,348.65,345.46,346.66,           ,0,0,0,1.54,1.11,0.85
 1992/09/30,348.7,349.8,347.7,348.3,0,348.57,345.76,346.49,           ,0,0,0,1.49,1.19,0.6
 1992/10/01,348.3,348.85,347,348.1,0,348.37,346.14,346.28,           ,0,0,0,1.41,1.23,0.36
 1992/10/02,347.9,349.1,347.3,348.3,0,348.21,346.62,346.09,           ,0,0,0,1.36,1.26,0.2
 1992/10/05,348.75,351.5,347.2,350.5,0,348.74,347.1,345.92,           ,0,0,0,1.47,1.3,0.34
 1992/10/06,350.25,351.1,349.5,350.15,0,349.07,347.55,345.77,           ,0,0,0,1.52,1.34,0.35
 1992/10/07,350.2,351.5,349,350.6,0,349.53,347.93,345.6,           ,0,0,0,1.57,1.39,0.37
 1992/10/08,350.8,351.5,349.4,349.75,0,349.86,348.33,345.44,           ,0,0,0,1.53,1.42,0.22
 1992/10/09,349.75,351.2,349.3,350.3,0,350.26,348.8,345.32,           ,0,0,0,1.52,1.44,0.17
 1992/10/12,350.7,350.7,344.8,345.65,0,349.29,348.76,345.1,           ,0,0,0,1.13,1.38,-0.5
 1992/10/13,345.8,346.2,342.5,344.2,0,348.1,348.67,344.83,           ,0,0,0,0.69,1.24,-1.1
 1992/10/14,344.2,345.6,341.2,341.5,0,346.28,348.3,344.6,           ,0,0,0,0.12,1.02,-1.78
 1992/10/15,341.75,342.45,340,341.1,0,344.55,347.97,344.36,           ,0,0,0,-0.35,0.74,-2.19
 1992/10/16,341.1,343.8,341.1,342,0,342.89,347.52,344.22,           ,0,0,0,-0.65,0.46,-2.23
 1992/10/19,342.6,343.05,341.8,342.5,0,342.26,347.27,344.08,           ,0,0,0,-0.84,0.2,-2.08
 1992/10/20,342.5,344,342,343.5,0,342.12,346.98,343.94,           ,0,0,0,-0.89,-0.02,-1.75
 1992/10/21,343.35,344.4,343.1,343.5,0,342.52,346.73,343.81,           ,0,0,0,-0.93,-0.2,-1.46
 1992/10/22,343.5,343.9,342,342.3,0,342.76,346.39,343.71,           ,0,0,0,-1.04,-0.37,-1.34
 1992/10/23,342.25,343.95,341.9,343.2,0,343,346.09,343.77,           ,0,0,0,-1.04,-0.5,-1.08
 1992/10/26,343.35,343.35,340,340.5,0,342.6,345.72,343.89,           ,0,0,0,-1.25,-0.65,-1.2
 1992/10/27,340.45,340.9,336.1,337.3,0,341.36,345.16,343.92,           ,0,0,0,-1.65,-0.85,-1.6
 1992/10/28,337.4,339.6,337,338.9,0,340.44,344.69,343.96,           ,0,0,0,-1.82,-1.04,-1.55
 1992/10/29,339,340,338.4,339.4,0,339.86,344.26,344.03,           ,0,0,0,-1.89,-1.21,-1.36
